topic,ngram_range,min_count,filter,score
12,"(1, 3)",3,0.8906485946655494,0.49385079404982174
12,"(1, 2)",3,0.866483220065221,0.49218226583736085
9,"(1, 2)",15,0.7835438902050522,0.5299645603948179
3,"(1, 3)",11,0.9178899345182712,0.44704165991020944
9,"(1, 3)",9,0.7330742678504116,0.48557646052847236
13,"(1, 2)",8,0.9266977473015788,0.5032782253654268
2,"(1, 1)",11,0.7749452052907789,0.5367205416858813
5,"(1, 2)",14,0.8533672526784188,0.4323689909108414
11,"(1, 2)",2,0.8354367484275764,0.4825409363036306
5,"(1, 3)",4,0.7010234822577853,0.4620763973483798
2,"(1, 1)",19,0.7814392858446312,0.5367205416858813
2,"(1, 1)",19,0.7911698415348071,0.5367205416858813
4,"(1, 1)",20,0.7920600219164909,0.5718411750265628
5,"(1, 1)",14,0.8234352258409536,0.5634038215934013
5,"(1, 1)",16,0.8184472123458613,0.5634038215934013
7,"(1, 1)",17,0.8196573114717829,0.5406258878482049
7,"(1, 1)",20,0.7482364912217164,0.5406258878482049
4,"(1, 1)",14,0.8108890237899373,0.5718411750265628
4,"(1, 1)",17,0.8015884226566048,0.5718411750265628
6,"(1, 1)",13,0.8562436765574067,0.4446929179088894
