Tópicos,Words
0,"['pedir', 'entregar', 'produto', 'receber', 'empresa', 'entrar_contato', 'compra', 'comprar', 'informar', 'apenas']"
1,"['pedir', 'entregar', 'compra', 'querer', 'entrar_contato', 'fazer', 'contar', 'produto', 'ainda', 'empresa']"
2,"['compra', 'pedir', 'produto', 'entregar', 'empresa', 'site', 'loja', 'hoje', 'comprar', 'entrar_contato']"
3,"['produto', 'compra', 'pedir', 'entregar', 'agora', 'fazer', 'entrar_contato', 'comprar', 'site', 'loja']"
4,"['compra', 'pedir', 'produto', 'entregar', 'problema', 'comprar', 'entrar_contato', 'fazer', 'ainda', 'resposta']"
5,"['compra', 'produto', 'pedir', 'entregar', 'site', 'fazer', 'compr', 'recebi', 'entrar_contato', 'problema']"
6,"['pedir', 'site', 'produto', 'cartão', 'compra', 'entregar', 'entrar_contato', 'agora', 'então', 'dizer']"
7,"['produto', 'pedir', 'compra', 'site', 'entregar', 'recebi', 'ainda', 'compr', 'chegar', 'fazer']"
8,"['pedir', 'entregar', 'comprar', 'produto', 'loja', 'celular', 'site', 'compra', 'falar', 'entrar_contato']"
9,"['produto', 'entregar', 'pedir', 'entrar_contato', 'compra', 'compr', 'site', 'comprar', 'devolução', 'fazer']"
10,"['entregar', 'produto', 'compra', 'loja', 'pedir', 'comprar', 'fazer', 'retorno', 'valor', 'chegar']"
