,title,text,documents
0,pedido cancelado sem justificativa após uma semana da compra,"eu estava pesquisando bastante uma nova tv para comprar e resolvi aguardar a semana do cliente, porque como ocorreu tiveram vários descontos e promoções nessa semana, sendo assim recebi descontos, cashback e cupons de varias plataformas e assim decidi efetuar a compra aquela que eu entendesse ser o melhor custo beneficio. sendo assim no dia 12 de setembro de 2022 recebi uma oferta de produto da amazon que entendi estar com um preço muito bom além de ter cachback e efetuei a compra que já aguardei até a semana do consumidor para efetuar com toda a expectativa. como estavamos anciosos e mesmo estando dentro do prazo de entrega hoje no dia 19/09 resolvi enviar uma mensagem perguntando quando o pedido seria enviado, ja que após a confirmação da compra e pagamento, passado 7 dias não tive nenhum retorno, já que complei inclusive na amazon, um site em que confio e tambem sou assinante. para a minha surpresa após o pedido de informação do pedido, tenho um retorno por email na qual o mesmo estaria sendo cancelado, sendo nenhuma justificativa e após 7 dias da realização do mesmo. ou seja aguardei chegar em um periodo de compro ansiosamente para aproveitar os descontos de um produto que minha familia aguardava, e além de cancelar a compra do produto sem uma justificativa a empresa me tirou todas as oportunidades e descontos que tive de efetuar a compra na semana do consumidor já que levaram 7 dias para cancelar o mesmo, me sinto extremamente  por uma empresa em que sempre acreditei, aguardo uma satisfação e reparação aos meus transtornos sofridos, já que hoje não consigo mais comprar esse produto pelo mesmo valor ou próximo a ele.","pedido cancelado sem justificativa após uma semana da compra eu estava pesquisando bastante uma nova tv para comprar e resolvi aguardar a semana do cliente, porque como ocorreu tiveram vários descontos e promoções nessa semana, sendo assim recebi descontos, cashback e cupons de varias plataformas e assim decidi efetuar a compra aquela que eu entendesse ser o melhor custo beneficio. sendo assim no dia 12 de setembro de 2022 recebi uma oferta de produto da amazon que entendi estar com um preço muito bom além de ter cachback e efetuei a compra que já aguardei até a semana do consumidor para efetuar com toda a expectativa. como estavamos anciosos e mesmo estando dentro do prazo de entrega hoje no dia 19/09 resolvi enviar uma mensagem perguntando quando o pedido seria enviado, ja que após a confirmação da compra e pagamento, passado 7 dias não tive nenhum retorno, já que complei inclusive na amazon, um site em que confio e tambem sou assinante. para a minha surpresa após o pedido de informação do pedido, tenho um retorno por email na qual o mesmo estaria sendo cancelado, sendo nenhuma justificativa e após 7 dias da realização do mesmo. ou seja aguardei chegar em um periodo de compro ansiosamente para aproveitar os descontos de um produto que minha familia aguardava, e além de cancelar a compra do produto sem uma justificativa a empresa me tirou todas as oportunidades e descontos que tive de efetuar a compra na semana do consumidor já que levaram 7 dias para cancelar o mesmo, me sinto extremamente  por uma empresa em que sempre acreditei, aguardo uma satisfação e reparação aos meus transtornos sofridos, já que hoje não consigo mais comprar esse produto pelo mesmo valor ou próximo a ele."
1,pedido cancelado ,"eu sinceramente estou decepcionada com o amazon entrei em contato com o procon hoje e eles me informaram que foi marcado uma audiência de conciliação porque o amozan não respondeu a solicitação de esclarecimento do procon ou seja nem pro procon o amazon se importou e que fazer somente o que ele quer ,por conta de um produto que me venderam sem ter estoque cancelaram sem da satisfação algunha ou seja total falta de respeito com o consumidor que vai me fazer sair de casa com uma criança recém nascida ,mas não vou desistir do meu direito e vou nessa audiência mesmo assim .","pedido cancelado  eu sinceramente estou decepcionada com o amazon entrei em contato com o procon hoje e eles me informaram que foi marcado uma audiência de conciliação porque o amozan não respondeu a solicitação de esclarecimento do procon ou seja nem pro procon o amazon se importou e que fazer somente o que ele quer ,por conta de um produto que me venderam sem ter estoque cancelaram sem da satisfação algunha ou seja total falta de respeito com o consumidor que vai me fazer sair de casa com uma criança recém nascida ,mas não vou desistir do meu direito e vou nessa audiência mesmo assim ."
2,cobrança indevida,"cancelei meu plano antes de terminar o período de teste grátis, pois não gostei da plataforma, e já é a segunda vez que cobram a fatura e não deu nem dois meses que foi assinado contando o mês gratuito. caso vocês não resolvam meu problema vamos estar entrando com um processo contra a amazon, tentei contato por onde estávamos conversando e eles não me retornam mais.engraçado é que quando é pra contratar, pode ser qualquer pessoa e não precisa ficar vindo reclamar em outro local para que eles respondam, agora quando é pra cancelar nenhum dos canais de atendimento funciona.","cobrança indevida cancelei meu plano antes de terminar o período de teste grátis, pois não gostei da plataforma, e já é a segunda vez que cobram a fatura e não deu nem dois meses que foi assinado contando o mês gratuito. caso vocês não resolvam meu problema vamos estar entrando com um processo contra a amazon, tentei contato por onde estávamos conversando e eles não me retornam mais.engraçado é que quando é pra contratar, pode ser qualquer pessoa e não precisa ficar vindo reclamar em outro local para que eles respondam, agora quando é pra cancelar nenhum dos canais de atendimento funciona."
3,pedido reincidente,"olha fiz compra veio errada, e veio errado novamente. falei com a mariana, e pensei que ela tinha entendido o problema. falei que tinha escolhido o desodorante de cinca e veio o verde errado. e agora veio o verde novamente. eu nao acredito.","pedido reincidente olha fiz compra veio errada, e veio errado novamente. falei com a mariana, e pensei que ela tinha entendido o problema. falei que tinha escolhido o desodorante de cinca e veio o verde errado. e agora veio o verde novamente. eu nao acredito."
4,assinatura para vender na amazon brasil,"eu me inscrevi na amazon para realizar vendas no brasil, fiz o cadastro no plano individual que seria cobrado apenas 2 reais por venda realizada, porem para minha surpresa quando eu consegui finalizar eu recebi uma mensagem da nubank que foi realizado um pagamento a amazon no valor de 39,99 dolares, 240,00 reais, realizei o encerramento da minha conta no mesmo dia em que abri afim de evitar mais cobranças, porem nao consigo mais contato para saber como faço para receber esse reembolso.lembrando que nao autorizei e nem tenho interesse no plano global para vender na amazon, eu quero apenas vender no brasil e pagar o plano de 2 reais por venda.fico no aguardo de uma soluçao.","assinatura para vender na amazon brasil eu me inscrevi na amazon para realizar vendas no brasil, fiz o cadastro no plano individual que seria cobrado apenas 2 reais por venda realizada, porem para minha surpresa quando eu consegui finalizar eu recebi uma mensagem da nubank que foi realizado um pagamento a amazon no valor de 39,99 dolares, 240,00 reais, realizei o encerramento da minha conta no mesmo dia em que abri afim de evitar mais cobranças, porem nao consigo mais contato para saber como faço para receber esse reembolso.lembrando que nao autorizei e nem tenho interesse no plano global para vender na amazon, eu quero apenas vender no brasil e pagar o plano de 2 reais por venda.fico no aguardo de uma soluçao."
5,pedido não entregue ,"meu pedido não chegou, foi cancelado a compra e no site da @amazon não tem o link para solicitar o reembolso.sobre a devolução do dinheiro, já que não entregaram o meu pedido, como se dará, necessita ser por via judicial?","pedido não entregue  meu pedido não chegou, foi cancelado a compra e no site da @amazon não tem o link para solicitar o reembolso.sobre a devolução do dinheiro, já que não entregaram o meu pedido, como se dará, necessita ser por via judicial?"
6,não recebida ,fiz uma compra no amazon  de xarope kaly de gengibre 700 ml o status informa que foi entregue  é isso não aconteceu ,não recebida  fiz uma compra no amazon  de xarope kaly de gengibre 700 ml o status informa que foi entregue  é isso não aconteceu 
7,amazon nao liberou reembolso,"dia 12 de setembro solicitei a devolução coleta,após alguns dias cancelaram e tive que solicitar novamente,até a presente data não foi me reembolsado e sabe-se lá quando será,atendimento no chat não é bom a central não sabe o que dizer,não resolveram.","amazon nao liberou reembolso dia 12 de setembro solicitei a devolução coleta,após alguns dias cancelaram e tive que solicitar novamente,até a presente data não foi me reembolsado e sabe-se lá quando será,atendimento no chat não é bom a central não sabe o que dizer,não resolveram."
8,compra canelada sem motivos,"fiz a compra de uma smart tv, na loja oficial da efacil, na amazon, mas alguns dias depois o pedido foi cancelado. fui informado pela amazon que o pedido foi cancelado pela efacil, sem nenhum motivo. o pedido já tinha sido aprovado pelo cartão. quero o cumprimento da oferta","compra canelada sem motivos fiz a compra de uma smart tv, na loja oficial da efacil, na amazon, mas alguns dias depois o pedido foi cancelado. fui informado pela amazon que o pedido foi cancelado pela efacil, sem nenhum motivo. o pedido já tinha sido aprovado pelo cartão. quero o cumprimento da oferta"
9,pedido cancelado - amazon day,"fiz uma compra 13/07 de uma echo dot. nesse dia era o amazon day e pude aproveitar as promoções que o site oferecia e uma delas foi essa da echo dot. quando comprei o prazo já era grande, de quase 3 meses - previsão para primeira quinzena de outubro. porém, hoje recebi um e-mail avisando do cancelamento da compra. foi minha primeira experiência no amazon day e não pretendo ter outro!esperei todo esse tempo e não vou ter meu produto. e como demoraram pra avisar do cancelamento, nem a chance de aproveitar o amazon day ou o dia do consumidor eu tive.no fim, só eu fui a prejudicada!péssima experiência!","pedido cancelado - amazon day fiz uma compra 13/07 de uma echo dot. nesse dia era o amazon day e pude aproveitar as promoções que o site oferecia e uma delas foi essa da echo dot. quando comprei o prazo já era grande, de quase 3 meses - previsão para primeira quinzena de outubro. porém, hoje recebi um e-mail avisando do cancelamento da compra. foi minha primeira experiência no amazon day e não pretendo ter outro!esperei todo esse tempo e não vou ter meu produto. e como demoraram pra avisar do cancelamento, nem a chance de aproveitar o amazon day ou o dia do consumidor eu tive.no fim, só eu fui a prejudicada!péssima experiência!"
